,Store Name,Address,Phone Number,Timing,Latitude,Longitude,Links
10,V-Mart,"Ward No 13, Holding No 20/33A/11, Circle No 20, Bhagwan Bazar, Pratap Nagar, Chhapra, Bihar, 841301",0931 1775 494,10:00 AM to 10:00 PM,25.784547,84.725655,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.784547,84.725655"
11,V-Mart,"Powell Intl Mall, Kesariya Road, Near Devkrit Pandey Thakur Singh Inter College, Chakia, East Champaran, Bihar, 845412",0844 8085 184,10:00 AM to 10:00 PM,26.4116728,85.0373116,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.4116728,85.0373116"
12,V-Mart,"Babu Bazaar, D T Road, Arrah, Bhojpur, Bihar, 802301",0930 4009 826,10:00 AM to 10:00 PM,25.5608225,84.668163,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.5608225,84.668163"
13,V-Mart,"Harihar Babu Commercial Complex, Patna-Gaya Road, Aitwarpur, Patna, Bihar, 824143",0930 8232 456,10:00 AM to 10:00 PM,25.0341571,84.3988876,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.0341571,84.3988876"
14,V-Mart,"Maa Parvati Commercial Complex, Mg Road, New Area, Aurangabad(Bh), Bihar, 824101",0938 6252 626,10:00 AM to 10:00 PM,24.749733,84.366564,"https://www.google.com/maps/dir/?api=1&origin=&destination=24.749733,84.366564"
15,V-Mart,"Khasra No 5563, Sheohar-Minapur Road, Adjoining Axis Bank, Sheohar, Sheohar, Bihar, 843329",0729 0036 229,10:00 AM to 10:00 PM,26.5108652,85.3001121,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.5108652,85.3001121"
16,V-Mart,"Bailey Road, Saguna More, Opposite Keshav Hospital, Khagual, Patna, Bihar, 801503",0997 1179 135,10:00 AM to 10:00 PM,25.622997,85.042685,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.622997,85.042685"
17,V-Mart,"Ward No 7, Main Road, Gandhi Chowk, Lalganj, Vaishali, Bihar, 844121",0880 0110 366,09:00 AM to 09:00 PM (Closing Soon),25.8680559,85.1719391,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.8680559,85.1719391"
18,V-Mart,"Nh 77 Dumra Road, Rajo Patti Area, Bhabdepur, Sitamarhi, Bihar, 843302",0938 9760 960,10:00 AM to 10:00 PM,26.6056713,85.4786085,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.6056713,85.4786085"
19,V-Mart,"Chandrakanta Complex, Sector 14, Rajiv Nagar, Phulwari, Patna, Bihar, 800024",0933 4710 960,10:00 AM to 10:00 PM,25.6315977,85.0946442,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.6315977,85.0946442"
20,V-Mart,"New Saraswati Chandra Market, Kurji Mor, Near PNB Bank,Opp. Chasma Gali, Kurji, Patna, Bihar, 800010",0966 7790 297,10:00 AM to 10:00 PM,25.638171,85.10847,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.638171,85.10847"
21,V-Mart,"Plot No 272, Tauzi No 5311, Mall Road, Near Pnb, Phulwari, Patna, Bihar, 800013",0966 7790 297,10:00 AM to 10:00 PM,25.6371194,85.1085908,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.6371194,85.1085908"
22,V-Mart,"Khata No 133, Police Colony, Thana No 14, Opposite Planet Fashion, Anishabad, Patna, Bihar, 800002",0981 0891 614,10:00 AM to 10:00 PM,25.582182,85.088984,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.582182,85.088984"
23,V-Mart,"Raj Tower, Boring Road Crossing, Anandpuri, Near Verma Center, Phulwari, Patna, Bihar, 800001",0933 4834 960,10:00 AM to 10:00 PM,25.614463,85.116874,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.614463,85.116874"
24,V-Mart,"Priya Market, Sutapatti Road, Sutapatti, Muzaffarpur, Bihar, 842001",0748 8507 511,10:00 AM to 10:00 PM,26.12542124,85.38507234,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.12542124,85.38507234"
25,V-Mart,"Priya Market, Sutapatti Road, Sariya Ganj, Sutapatti, Muzaffarpur, Bihar, 842001",0748 8507 511,10:00 AM to 10:00 PM,26.1254056,85.3850871,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.1254056,85.3850871"
26,V-Mart,"Plot No 16, Block C, Housing Colony, Kankarbagh, Near Tempo Stand, Sampatchak, Patna, Bihar, 800020",0776 1918 155,10:00 AM to 10:00 PM,25.594333,85.148194,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.594333,85.148194"
27,V-Mart,"Khasra No. 413, Aghorya Bazaar, Ps Kazi Mohammadpur, Mushahari, Muzaffarpur, Bihar, 842002",0882 6010 247,10:00 AM to 10:00 PM,27.129449,84.067077,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.1073866,85.3901845"
28,V-Mart,"Lg Flr, Cine Krishna, Bubna Plaza Campus, Cinema Road, Hajipur, Vaishali, Bihar, 844101",0930 4264 891,10:00 AM to 10:00 PM,26.8052529,84.5147847,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.6943344,85.211759"
29,V-Mart,"Patna Kanti Factory, Kanti Factory Road, Mahatma Gandhi Nagar, Near Pnb Bank, Sampatchak, Patna, Bihar, 800020",0928 9493 344,11:00 AM to 10:00 PM,25.0492808,83.6162927,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.599403,85.169534"
30,V-Mart,"Station Road, Near Shiv Shankar Cinema Hall, Krishnapuri Colony, Jahanabad, Bihar, 804408",0844 8528 647,10:00 AM to 10:00 PM,25.5678685,83.9758813,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.2192963,84.988212"
31,V-Mart,"Gopalpur Block, Sampatchak, Sampatchak, Near Mahaveer Kali Mandir, Sona Gopalpur, Patna, Bihar, 800007",0730 3129 704,10:00 AM to 10:00 PM,26.4611962,84.4383196,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.536402,85.176174"
32,V-Mart,"Khaze Kain Road, Kasera Toli, Near Krishna Cinema, Sadikpur, Patna, Bihar, 800008",0930 8314 142,10:00 AM to 10:00 PM,26.2229575,84.3640737,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.6003896,85.2203485"
33,V-Mart,"Ground Floor, Raypura, Opposite Bandhan Marriage Hall, Fatuha, Patna, Bihar, 803201",0981 0917 346,11:00 AM to 10:00 PM,26.97751,84.84932,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.507366,85.313664"
34,V-Mart,"Dharam Dhurin Complex, Gandhi Maidan, Opp-North India, Nagmatia Colony, Gaya, Bihar, 823001",0938 6346 584,10:00 AM to 10:00 PM,24.9593854,84.0161204,"https://www.google.com/maps/dir/?api=1&origin=&destination=24.7911749,84.9992979"
35,V-Mart,"Madhopur, Main Road, Hakikatpur, Bakhtiarpur, Patna, Bihar, 803212",0982 1226 845,10:00 AM to 10:00 PM,26.6619615,84.9132496,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.460716,85.535683"
36,V-Mart,"Rajkumar Ganj Road, Near Amrit Nursing Home, Kathalbari, Darbhanga, Bihar, 846004",0933 4260 960,10:00 AM to 10:00 PM,24.901713,84.186938,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.157621,85.902341"
37,V-Mart,"Mathurapur Ghat, Darbhanga Road, Kasipur, Samastipur, Bihar, 848101",0938 6392 800,10:00 AM to 10:00 PM,25.784547,84.725655,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.8629579,85.7810094"
38,V-Mart,"Laheriasarai, Balbhadrapur, Laheriasarai, Darbhanga, Bihar, 846001",0959 9805 007,11:00 AM to 10:00 PM,26.4116728,85.0373116,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.11985324,85.89686379"
39,V-Mart,"Donar Road, Opposite Holy Cross School, Donar, Darbhanga, Bihar, 846004",0982 1226 972,10:00 AM to 10:00 PM,25.5608225,84.668163,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.147925,85.9081635"
40,V-Mart,"Swadesh Tower, Thana Modh, Ayachi Nagar, Madhubani, Bihar, 847211",0930 8855 751,10:00 AM to 10:00 PM,25.0341571,84.3988876,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.346845,86.0710009"
41,V-Mart,"Gharpar, Purani Bazaar, Main Road, Roh, Gondapur, Nawada, Bihar, 805110",0930 8330 535,10:00 AM to 10:00 PM,24.749733,84.366564,"https://www.google.com/maps/dir/?api=1&origin=&destination=24.8832978,85.5333034"
42,V-Mart,"Rashidpur Road, Teghra, Daniyalpur, Munger Ghai, Begusarai, Bihar, 851114",0928 9662 257,11:00 AM to 10:00 PM,26.5108652,85.3001121,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.48949052,85.94128333"
43,V-Mart,"Khata No 556, Ward No 11, Plot No 5519, 5868/O, 6559/N, Near Langra Chowk, Jhanjharpur, Darbhanga, Bihar, 847404",0987 1123 075,10:00 AM to 10:00 PM,25.622997,85.042685,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.257279,86.276029"
44,V-Mart,"Station Road, Jakhrana, Near DAV School, Professor Colony, Sheikhpura, Bihar, 811105",0844 8982 288,10:00 AM to 10:00 PM,25.8680559,85.1719391,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.1342732,85.8595387"
45,V-Mart,"Shyam Complex, Kutchery Road, Chitragupta Nagar, Begusarai, Bihar, 851101",0938 6267 657,10:00 AM to 10:00 PM,26.6056713,85.4786085,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.4211144,86.1358584"
46,V-Mart,"Ward No 20, Fci Godam, Rk Sharma, Hemara Road, Opposite Chitnaur Kothi, Ratanpur, Begusarai, Bihar, 851101",0966 7790 292,10:00 AM to 10:00 PM,25.6315977,85.0946442,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.410455,86.138315"
47,V-Mart,"Ground Floor, Station Road, Purani Bazar, Opposite Nagar Parishad Office, Ramgarh Chowk, Lakhisarai, Bihar, 811311",0844 8085 171,10:00 AM to 10:00 PM,25.638171,85.10847,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.1740229,86.0952428"
48,V-Mart,"Ganga Talkies, Station Road, North Hathkola, Supaul, Bihar, 852131",0730 3585 369,10:00 AM to 10:00 PM,25.6371194,85.1085908,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.118817,86.603619"
49,V-Mart,"Manorma Complex, Purab Bazar, Sant Nagar, Kahra, Saharsa, Bihar, 852201",0748 8564 226,10:00 AM to 10:00 PM,25.582182,85.088984,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.8875617,86.6074458"
50,V-Mart,"Ground Floor, Mill Road, Kalibari, Khagaria, Bihar, 851204",0977 3989 143,10:00 AM to 10:00 PM,25.614463,85.116874,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.5036471,86.4666461"
51,V-Mart,"Mahashari Chowk, Lakhisarai Road, Purani Bazar, Jamui, Bihar, 811307",0748 8507 516,10:00 AM to 10:00 PM,26.12542124,85.38507234,"https://www.google.com/maps/dir/?api=1&origin=&destination=24.919515,86.224718"
52,V-Mart,"Chandan Bagh, Patna Road, Maksuspur, Munger, Bihar, 811201",0748 8357 825,10:00 AM to 10:00 PM,26.1254056,85.3850871,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.3623257,86.4679928"
53,V-Mart,"Shivtara Complex, Munger Road, Gayatri Nagar, Jamalpur, Munger, Bihar, 811214",0634 4242 145,10:00 AM to 10:00 PM,25.594333,85.148194,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.3629734,86.4934543"
54,V-Mart,"Shivtara Complex, Munger Road, Gayatri Nagar, Jamalpur, Munger, Bihar, 811214",0634 4242 145,10:00 AM to 10:00 PM,26.1073866,85.3901845,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.3220615,86.4926218"
55,V-Mart,"Thana Chowk, Opposite Town Thana, Jagjeevan Path, Madhepura, Bihar, 852113",0728 9005 223,10:00 AM to 10:00 PM,25.6943344,85.211759,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.9202632,86.7920174"
56,V-Mart,"Mohalla Dahiawa Tola, Shri Nandan Path, Sadhnapuri, Chapra, Saran, Bihar, 841301",0938 6016 126,10:00 AM to 10:00 PM,25.599403,85.169534,"https://www.google.com/maps/dir/?api=1&origin=&destination=24.483347,86.2999974"
57,V-Mart,"Sadar Road, Forbesganj, Araria, Forbesganj, Bihar, 854318",0959 9805 005,11:00 AM to 10:00 PM,25.2192963,84.988212,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.303988,87.2577041"
58,V-Mart,"Shah Market, Patel Babu Road, Jagdishpur, Bhagalpur, Bihar, 812001",0938 6284 184,10:00 AM to 10:00 PM,25.536402,85.176174,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.2461587,86.9796151"
59,V-Mart,"Madhuban Complex, Aligarh Road, Dokania Market, Banka, Bihar, 813102",0931 2004 867,10:00 AM to 10:00 PM,25.6003896,85.2203485,"https://www.google.com/maps/dir/?api=1&origin=&destination=24.8836001,86.929"
60,V-Mart,"Kalpana Cinema Road, Beside Bandhan Bank, Kahalgoan, Bhagalpur, Bihar, 813204",0730 3200 896,10:00 AM to 10:00 PM,25.507366,85.313664,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.261569,87.232924"
61,V-Mart,"Polytechonic Chowk, Subhash Nagar, Subhash Nagar, Purnia, Bihar, 854301",0844 8091 173,10:00 AM to 10:00 PM,24.7911749,84.9992979,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.7624381,87.469069"
62,V-Mart,"Rambagh Chowk Thana Sadar, Near Kali Mandir, Rambagh, Purnea, Bihar, 854301",0813 0420 517,10:00 AM to 10:00 PM,25.460716,85.535683,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.791054,87.4960345"
63,V-Mart,"Maa Gayatri Complex, Mirchaibari, Katihar, Bihar, 854105",0704 2989 911,10:00 AM to 10:00 PM,26.157621,85.902341,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.555897,87.557595"
64,V-Mart,"Katihar New Market, Rp Road, Near Syndicate Bank, Gami Tola, Katihar, Bihar, 854105",0742 8661 153,10:00 AM to 10:00 PM,25.8629579,85.7810094,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.543832,87.573425"
65,V-Mart,"Paschimpali College Road, Ghoramara, Kagzia Basti, Kishanganj, Bihar, 855107",0933 6427 778,10:00 AM to 10:00 PM,26.11985324,85.89686379,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.1069174,87.9476768"
